"conflict_id","dyad_id","org","side_a_name","side_a_name_fulltext","side_a_name_mothertongue","side_a_id","side_a_components","side_a_2nd","gwno_a_2nd","side_b_name","side_b_name_fulltext","side_b_name_mothertongue","side_b_id","side_b_components","side_b_2nd","gwno_b_2nd","start_date","start_prec","start_date2","start_prec2","ep_end","ep_end_date","ep_end_prec","year","best_fatality_estimate","low_fatality_estimate","high_fatality_estimate","location","gwno_location","region","version"
"4672","5282","3","Dassanetch","Dassanetch","Dassanetch","713","","","","Turkana","Turkana","Turkana","693","","","","1991-12-31","5","2009-07-27","5","1","2009-11-30","3","2009","54","54","54","Ethiopia, Kenya","501, 530","4","22.1"
"4672","5282","3","Dassanetch","Dassanetch","Dassanetch","713","","","","Turkana","Turkana","Turkana","693","","","","1991-12-31","5","2011-05-02","1","1","2011-08-07","1","2011","55","55","78","Kenya","501","4","22.1"
"4673","5283","1","MFDC Front Nord - MD","Movement of the Democratic Forces of the Casamance - Northern Front Magne Diémé faction","Mouvement des Forces démocratiques de Casamance - Front Nord Magne Diémé","650","","","","MFDC - S","Movement of the Democratic Forces of the Casamance - Salif Sadio faction","Mouvement des Forces démocratiques de Casamance - Sadio","651","","","","2006-06-07","3","2006-06-15","2","1","2006-06-15","2","2006","124","124","124","Senegal","433","4","22.1"
"4674","5284","3","Misseriya","Misseriya","Misseriya","1025","","","","Rizeigat Abbala","Rizeigat Abbala","Rizeigat Abbala","676","","","","2004-12-31","5","2008-08-20","1","0","","","2008","67","67","67","Sudan","625","4","22.1"
"4674","5284","3","Misseriya","Misseriya","Misseriya","1025","","","","Rizeigat Abbala","Rizeigat Abbala","Rizeigat Abbala","676","","","","2004-12-31","5","2008-08-20","1","0","","","2009","244","244","264","Sudan","625","4","22.1"
"4674","5284","3","Misseriya","Misseriya","Misseriya","1025","","","","Rizeigat Abbala","Rizeigat Abbala","Rizeigat Abbala","676","","","","2004-12-31","5","2008-08-20","1","1","2010-08-18","2","2010","342","342","342","Sudan","625","4","22.1"
"4674","5284","3","Misseriya","Misseriya","Misseriya","1025","","","","Rizeigat Abbala","Rizeigat Abbala","Rizeigat Abbala","676","","","","2004-12-31","5","2012-07-19","1","1","2012-07-19","1","2012","58","58","116","Sudan","625","4","22.1"
"4674","5284","3","Misseriya","Misseriya","Misseriya","1025","","","","Rizeigat Abbala","Rizeigat Abbala","Rizeigat Abbala","676","","","","2004-12-31","5","2015-12-12","1","1","2015-12-12","1","2015","29","23","29","Sudan","625","4","22.1"
"4675","5285","3","Mohamed Muse subclan of Abgal clan (Hawiye)","Mohamed Muse subclan of Abgal clan (Hawiye)","n/a","654","","","","Warsangeli subclan of Abgal clan (Hawiye)","Warsangeli subclan of Abgal clan (Hawiye)","n/a","699","","","","2003-03-01","1","2003-05-28","1","1","2003-07-30","1","2003","64","64","76","Somalia","520","4","22.1"
"4676","5286","1","MDF","Moorland Defence Forces","n/a","902","","","","SLDF","Sabaot Land Defence Force","Sabaot Land Defence Force","704","","","","2008-01-31","3","2008-01-31","3","1","2008-01-31","3","2008","32","32","32","Kenya","501","4","22.1"
"4677","5287","3","Murle","Murle","Murle","655","","","","Nuer","Nuer","Nuer","660","","","","2006-04-15","2","2006-04-22","1","1","2006-04-29","1","2006","59","59","59","Ethiopia","530","4","22.1"
"4677","5287","3","Murle","Murle","Murle","655","","","","Nuer","Nuer","Nuer","660","","","","2006-04-15","2","2016-04-15","1","1","2016-04-15","1","2016","150","150","216","Ethiopia","530","4","22.1"
"4678","5288","1","NDPVF","Niger Delta People’s Volunteer Force","n/a","560","","","","NDV","Niger Delta Vigilantes","n/a","657","","","","2004-02-21","1","2004-08-23","1","1","2004-11-04","1","2004","59","59","60","Nigeria","475","4","22.1"
"4679","5289","1","NSCN-IM","National Socialist Council of Nagaland – Isaac-Muivah faction","n/a","223","","","","NSCN-K","National Socialist Council of Nagaland- Khaplang faction","n/a","224","","","","1999-08-19","1","2001-04-30","3","1","2001-12-11","1","2001","59","59","59","India","750","3","22.1"
"4679","5289","1","NSCN-IM","National Socialist Council of Nagaland – Isaac-Muivah faction","n/a","223","","","","NSCN-K","National Socialist Council of Nagaland- Khaplang faction","n/a","224","","","","1999-08-19","1","2005-09-10","1","0","","","2005","29","22","30","India","750","3","22.1"
"4679","5289","1","NSCN-IM","National Socialist Council of Nagaland – Isaac-Muivah faction","n/a","223","","","","NSCN-K","National Socialist Council of Nagaland- Khaplang faction","n/a","224","","","","1999-08-19","1","2005-09-10","1","0","","","2006","68","67","80","India","750","3","22.1"
"4679","5289","1","NSCN-IM","National Socialist Council of Nagaland – Isaac-Muivah faction","n/a","223","","","","NSCN-K","National Socialist Council of Nagaland- Khaplang faction","n/a","224","","","","1999-08-19","1","2005-09-10","1","0","","","2007","76","76","82","India","750","3","22.1"
"4679","5289","1","NSCN-IM","National Socialist Council of Nagaland – Isaac-Muivah faction","n/a","223","","","","NSCN-K","National Socialist Council of Nagaland- Khaplang faction","n/a","224","","","","1999-08-19","1","2005-09-10","1","1","2008-12-11","1","2008","51","51","59","India","750","3","22.1"
