Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,IDA total,IDA,833364014,1078169001,1428462154,1460611248,1493491572,1527218864,1561828652,1597273748,1633561540,1670692565,1708606728,1747318867
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,1848493286,2045117456,2210411890,2226143139,2241445370,2256036257,2270527108,2285348589,2297874675,2308520840,2316803603,2322070390
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,441855797,520903474,603094656,609595811,615999056,622301041,628493594,634566052,640483827,646431661,652365260,658089208
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,397563135,468775587,542860814,548716683,554632891,560649920,566801404,573044918,579255220,585257302,590928198,596217644
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,426777889,504921279,586999600,593506947,599935349,606271936,612511541,618653508,624698076,630644771,636492840,642239838
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,506129051,657030890,876617729,897536802,918959067,940860189,963241392,986099903,1009398577,1033088986,1057131013,1081504804
"Population, total",SP.POP.TOTL,Low & middle income,LMY,4233094650,4989857817,5869616742,5948565943,6027587134,6106513340,6185804647,6265829670,6343992496,6420460567,6494812232,6566551568
"Population, total",SP.POP.TOTL,Low income,LIC,299105546,397504018,555670836,570043355,584767206,599964298,615653729,631818732,648498946,665731857,683532991,701926973
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2007304045,2438276129,2958978379,3003828154,3048756862,3093861642,3139004988,3184107532,3229156489,3274021191,3318682068,3363196656
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,254215127,315326781,401968363,409968633,417924350,425821771,433616042,441298977,448974232,456709496,464542370,472494995
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,226259024,279279614,344998428,351290405,357629838,363975556,370294017,376588457,382955167,389457075,396147843,403051615
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,224280776,276357461,341018430,347213697,353456440,359705464,365926929,372133652,378386080,384771769,391344574,398128866
"Population, total",SP.POP.TOTL,Middle income,MIC,3933989104,4592353799,5313945906,5378522588,5442819928,5506549042,5570150918,5634010938,5695493550,5754728710,5811279241,5864624595
"Population, total",SP.POP.TOTL,North America,NAC,277373464,312909974,348656682,351207902,353888902,356507139,359245796,361731237,363967201,365995094,369602177,370203720
"Population, total",SP.POP.TOTL,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,OECD members,OED,1107196961,1200836415,1306807834,1315224394,1324034852,1332787383,1341783391,1350234580,1358279647,1365274704,1372980201,1375820281
"Population, total",SP.POP.TOTL,Other small states,OSS,17430785,20917080,27227313,27794594,28364446,28948893,29542903,30148954,30760469,31361216,31929881,32464282
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,1694327,1962451,2268553,2295450,2323558,2353578,2385744,2419767,2455336,2491878,2528958,2566494
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,964174249,1020504874,1082356457,1087107539,1092062242,1096949064,1101915677,1106131866,1110012320,1113142897,1117278019,1116655196
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,415057402,550660000,775573262,798496024,821931559,845759372,869943573,894512378,919485090,944902748,970795671,997158227
"Population, total",SP.POP.TOTL,Small states,SST,25134374,29393017,36568506,37213359,37861447,38524668,39198032,39883677,40574734,41254483,41901130,42512407
"Population, total",SP.POP.TOTL,South Asia,SAS,1133495194,1390946065,1683740452,1705761545,1727632022,1749417067,1771187426,1792883164,1814455018,1835776769,1856882402,1877902324
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1133495194,1390946065,1683740452,1705761545,1727632022,1749417067,1771187426,1792883164,1814455018,1835776769,1856882402,1877902324
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,509451875,665327588,917725880,943039474,968958352,995458498,1022530245,1050162810,1078319512,1106957870,1136046775,1165563987
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,509382368,665246457,917637577,942949525,968866993,995365079,1022435568,1050066967,1078222750,1106860245,1135948313,1165464785
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,509451875,665327588,917725880,943039474,968958352,995458498,1022530245,1050162810,1078319512,1106957870,1136046775,1165563987
"Population, total",SP.POP.TOTL,Upper middle income,UMC,1926685059,2154077670,2354967527,2374694434,2394063066,2412687400,2431145930,2449903406,2466337061,2480707519,2492597173,2501427939
"Population, total",SP.POP.TOTL,World,WLD,5280062644,6114324044,7089254548,7175500378,7261846543,7347679005,7433650819,7519371102,7602716232,7683806444,7763932702,7836630792
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/16/2022,,,,,,,,,,,,,,,
