Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
"2012,""Australia"",""Sudan"",2121600,0,2121600,""AUD "",""0.930000"",1975210,0,1975210"
"2012,""Belgium"",""DRC"",5222400,0,5222400,""EUR "",""0.770000"",4042138,0,4042138"
"2012,""Denmark"",""Ethiopia"",902391.08,0,902391.08,""DKK"",""5.540000"",5000148.97,0,5000148.97"
"2012,""Denmark"",""oPt"",1082836.48,0,1082836.48,""DKK"",""5.540000"",5999996.94,0,5999996.94"
"2012,""Denmark"",""Somalia"",5332480.14,0,5332480.14,""DKK "",""5.680000"",30261825,0,30261825"
"2012,""Denmark"",""South Sudan"",5123825.79,0,5123825.79,""DKK "",""5.620000"",28775406,0,28775406"
"2012,""Denmark"",""Sudan"",6711027.33,0,6711027.33,""DKK "",""5.800000"",38901743,0,38901743"
"2012,""Denmark"",""Yemen"",1727782.99,0,1727782.99,""DKK"",""5.790000"",10000407.95,0,10000407.95"
"2012,""Finland"",""Somalia"",3990600,0,3990600,""EUR "",""0.750000"",2976988,0,2976988"
"2012,""Germany"",""Somalia"",2529700,0,2529700,""EUR "",""0.790000"",2004113,0,2004113"
"2012,""Ireland"",""CAR"",2465530.4,0,2465530.4,""EUR "",""0.750000"",1854846,0,1854846"
"2012,""Ireland"",""DRC"",8904494.38,0,8904494.38,""EUR "",""0.770000"",6847654,0,6847654"
"2012,""Ireland"",""Ethiopia"",1093026.15,0,1093026.15,""EUR"",""0.790000"",859500,0,859500"
"2012,""Ireland"",""oPt"",62735.26,0,62735.26,""EUR"",""0.800000"",50000,0,50000"
"2012,""Ireland"",""Somalia"",4291664.4,0,4291664.4,""EUR "",""0.780000"",3329365,0,3329365"
"2012,""Ireland"",""South Sudan"",2918882.4,0,2918882.4,""EUR "",""0.780000"",2280777,0,2280777"
"2012,""Ireland"",""Sudan"",2918882.4,0,2918882.4,""EUR "",""0.780000"",2280777,0,2280777"
"2012,""Ireland"",""Yemen"",515841.69,0,515841.69,""EUR"",""0.780000"",400000,0,400000"
"2012,""Korea, Republic of"",""Yemen"",500000,0,500000,""USD"",""1.000000"",500000,0,500000"
"2012,""Luxembourg"",""DRC"",307425,0,307425,""EUR "",""0.820000"",250859,0,250859"
"2012,""Netherlands"",""Ethiopia"",6428571,0,6428571,""EUR"",""0.820000"",5245713.94,0,5245713.94"
"2012,""Netherlands"",""Somalia"",8500000,0,8500000,""USD "",""1.000000"",8500000,0,8500000"
"2012,""Netherlands"",""South Sudan"",20000000,0,20000000,""USD "",""1.000000"",20000000,0,20000000"
"2012,""Netherlands"",""Sudan"",5000000,0,5000000,""USD "",""1.000000"",5000000,0,5000000"
"2012,""Norway"",""Colombia"",533789.5,0,533789.5,""NOK"",""5.620000"",2999896.99,0,2999896.99"
