,Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
64,2016,Lebanon,Water Sanitation Hygiene,7614986.033,300072,325213
65,2016,Myanmar,Education,868818.61062,21962,24363
66,2016,Myanmar,Emergency Shelter and NFI,1730148.8525,35798,36283
67,2016,Myanmar,Food Security,875947.715,27031,22046
68,2016,Myanmar,Health,833346.1200000001,50881,34553
69,2016,Myanmar,Nutrition,19607.6023,2765,1690
70,2016,Myanmar,Protection,808312.9993799999,35578,44562
71,2016,Myanmar,Water Sanitation Hygiene,419047.7202,11071,13397
72,2016,oPt,Emergency Shelter and NFI,3061144.0300000003,15507,17272
73,2016,oPt,Food Security,1674103.1,45255,56022
74,2016,oPt,Health,250000.05,10000,10150
75,2016,oPt,Protection,948383.94,194168,196901
76,2016,oPt,Water Sanitation Hygiene,2225276.38,271739,272254
77,2016,Pakistan,Coordination and Support Services,324284.52,741183,743179
78,2016,Pakistan,Education,849950.18,15292,19813
79,2016,Pakistan,Emergency Shelter and NFI,1499727.93,9660,9177
80,2016,Pakistan,Health,1000052.67,93215,104244
81,2016,Pakistan,Nutrition,649269.22,68375,65807
82,2016,Pakistan,Protection,963321.83,50818,52774
83,2016,Pakistan,Water Sanitation Hygiene,999152.95,83708,75380
84,2016,Somalia,Education,2478765.1550000003,54868,58069
85,2016,Somalia,Emergency Shelter and NFI,2787216.0300000003,100632,102653
86,2016,Somalia,Food Security,7871893.15,137872,373964
87,2016,Somalia,Health,2704282.17,392774,446036
88,2016,Somalia,Logistics,1000000.0,4000,0
89,2016,Somalia,Multi-Sector,3552668.27,4779544,4690928
90,2016,Somalia,Nutrition,3431644.18,331656,340740
91,2016,Somalia,Protection,2332346.33,70113,97293
92,2016,Somalia,Water Sanitation Hygiene,4825113.755,325672,354618
93,2016,South Sudan,Camp Coordination / Management,2195045.65,325889,321280
94,2016,South Sudan,Coordination and Support Services,1122505.07,60,67
95,2016,South Sudan,Education,4334759.72,183616,201825
96,2016,South Sudan,Emergency Shelter and NFI,10086432.58,1037128,1311822
97,2016,South Sudan,Emergency Telecommunications,663373.28,240,420
98,2016,South Sudan,Food Security,8800392.41,1137141,1335929
99,2016,South Sudan,Health,11888486.36,3361255,3799641
100,2016,South Sudan,Logistics,9050060.33,20320,25158
101,2016,South Sudan,Nutrition,14072923.27,931347,946144
102,2016,South Sudan,Protection,6766997.47,427680,542078
103,2016,South Sudan,Water Sanitation Hygiene,13407835.04,1515492,1890714
104,2016,Sudan,Camp Coordination / Management,8468507.5084,372526,495666
105,2016,Sudan,Coordination and Support Services,1100007.72,654100,608574
106,2016,Sudan,Education,2112201.4448,134958,103903
107,2016,Sudan,Emergency Shelter and NFI,2715742.3736000005,942793,560277
108,2016,Sudan,Food Security,3110841.932,889850,879280
109,2016,Sudan,Health,5353540.605264,14953516,13969331
110,2016,Sudan,Nutrition,6125830.231868,758972,869076
111,2016,Sudan,Protection,3639587.2758,382208,399588
112,2016,Sudan,Water Sanitation Hygiene,6153323.028268,4655888,3750393
